iter	Accuracy	MultiClass
0	0.7083333333	1.757075055
1	0.7471590909	1.59152864
2	0.7651515152	1.507379582
3	0.78125	1.39288367
4	0.8361742424	1.294140252
5	0.8484848485	1.223099447
6	0.8617424242	1.159124022
7	0.8759469697	1.081224443
8	0.8835227273	1.020250916
9	0.8901515152	0.9629866512
10	0.896780303	0.9215142482
11	0.9090909091	0.8745480397
12	0.9147727273	0.8415753095
13	0.9185606061	0.8031583264
14	0.915719697	0.7734439553
15	0.9166666667	0.7378426291
16	0.9195075758	0.7135429101
17	0.928030303	0.6747638206
18	0.9270833333	0.6522494759
19	0.9327651515	0.6281259027
20	0.9393939394	0.6044245106
21	0.9431818182	0.5835577071
22	0.9441287879	0.5646229521
23	0.9460227273	0.5510035882
24	0.946969697	0.5362868319
25	0.9450757576	0.5171023839
26	0.9488636364	0.5033660059
27	0.9488636364	0.4863851224
28	0.9526515152	0.4751644896
29	0.9526515152	0.4630951468
30	0.9573863636	0.4515435797
31	0.9573863636	0.4426686658
32	0.9583333333	0.4318764908
33	0.9611742424	0.4196984476
34	0.9611742424	0.4081239601
35	0.9602272727	0.3988046802
36	0.9621212121	0.3905828866
37	0.9630681818	0.3834558151
38	0.9640151515	0.3754903175
39	0.9678030303	0.3680734248
40	0.9678030303	0.3586771024
41	0.9649621212	0.3505726953
42	0.9659090909	0.3449525357
43	0.96875	0.3397198229
44	0.9696969697	0.3333304223
45	0.9734848485	0.3257820201
46	0.9744318182	0.3195150041
47	0.9753787879	0.3141882901
48	0.9763257576	0.3082686372
49	0.9763257576	0.3040900572
50	0.9772727273	0.2975652368
51	0.9801136364	0.2908065504
52	0.9820075758	0.2858877997
53	0.9810606061	0.2802253763
54	0.9820075758	0.2763543275
55	0.9820075758	0.2719293717
56	0.9829545455	0.268456995
57	0.9839015152	0.2615693448
58	0.9848484848	0.2572978297
59	0.9848484848	0.2522668455
60	0.9848484848	0.2507309421
61	0.9848484848	0.2470824547
62	0.9848484848	0.2435128292
63	0.9857954545	0.2402953567
64	0.9857954545	0.2350040694
65	0.9857954545	0.2301165048
66	0.9857954545	0.2272748549
67	0.9857954545	0.2239749398
68	0.9857954545	0.2185894712
69	0.9857954545	0.2148358334
70	0.9867424242	0.2119288009
71	0.9857954545	0.2085416334
72	0.9876893939	0.2040569883
73	0.9886363636	0.2021681775
74	0.9895833333	0.199428944
75	0.9895833333	0.1975451802
76	0.9886363636	0.1944731031
77	0.9886363636	0.1929202838
78	0.9895833333	0.1896397984
79	0.9914772727	0.1872691363
80	0.990530303	0.1851045867
81	0.9914772727	0.1834137897
82	0.9924242424	0.1801035573
83	0.9914772727	0.177263543
84	0.9924242424	0.1742923144
85	0.9924242424	0.1725680732
86	0.9924242424	0.1703435658
87	0.9924242424	0.1673278366
88	0.9924242424	0.1658258494
89	0.9933712121	0.1623925877
90	0.9933712121	0.1605766234
91	0.9933712121	0.1584515259
92	0.9933712121	0.1554508424
93	0.9943181818	0.1539375529
94	0.9943181818	0.1526586836
95	0.9943181818	0.1508505157
96	0.9943181818	0.1489311078
97	0.9952651515	0.1468493375
98	0.9952651515	0.1446640101
99	0.9952651515	0.1422256129
