iter	Passed	Remaining
0	140	13913
1	288	14126
2	415	13432
3	550	13220
4	711	13515
5	842	13205
6	997	13249
7	1067	12281
8	1194	12076
9	1318	11865
10	1446	11700
11	1590	11661
12	1747	11696
13	1939	11913
14	2109	11955
15	2286	12004
16	2416	11800
17	2551	11622
18	2679	11423
19	2842	11370
20	2977	11202
21	3112	11035
22	3243	10857
23	3367	10663
24	3499	10497
25	3626	10320
26	3757	10158
27	3890	10004
28	4015	9832
29	4148	9680
30	4278	9524
31	4407	9366
32	4537	9212
33	4680	9085
34	4823	8958
35	4979	8852
36	5133	8740
37	5302	8651
38	5457	8536
39	5639	8458
40	5793	8336
41	5921	8177
42	6054	8025
43	6196	7885
44	6326	7731
45	6457	7580
46	6589	7431
47	6720	7280
48	6847	7126
49	6985	6985
50	7120	6841
51	7253	6695
52	7388	6551
53	7524	6409
54	7654	6262
55	7810	6136
56	7964	6008
57	8128	5886
58	8289	5760
59	8426	5617
60	8434	5392
61	8569	5252
62	8717	5119
63	8846	4976
64	8967	4828
65	9089	4682
66	9219	4540
67	9345	4398
68	9476	4257
69	9597	4113
70	9717	3969
71	9838	3826
72	9976	3689
73	10101	3549
74	10231	3410
75	10355	3270
76	10475	3129
77	10600	2989
78	10731	2852
79	10881	2720
80	11020	2584
81	11144	2446
82	11280	2310
83	11434	2177
84	11570	2041
85	11700	1904
86	11823	1766
87	11956	1630
88	12093	1494
89	12229	1358
90	12359	1222
91	12498	1086
92	12634	950
93	12766	814
94	12889	678
95	13016	542
96	13148	406
97	13273	270
98	13406	135
99	13534	0
